depth_mm,evaluated_voxels,voxel_difference_noise_RMS_pp,observed_voxel_difference_RMS_percent,central_peak_TOPAS_SE_percent,central_peak_GPU_SE_percent,central_peak_ratio_SE_pp,central_peak_CI95_half_width_pp,adjacent_valleys_TOPAS_SE_percent,adjacent_valleys_GPU_SE_percent,adjacent_valleys_ratio_SE_pp,adjacent_valleys_CI95_half_width_pp,inner_field_peaks_TOPAS_SE_percent,inner_field_peaks_GPU_SE_percent,inner_field_peaks_ratio_SE_pp,inner_field_peaks_CI95_half_width_pp,inner_field_valleys_TOPAS_SE_percent,inner_field_valleys_GPU_SE_percent,inner_field_valleys_ratio_SE_pp,inner_field_valleys_CI95_half_width_pp
111.125,377,4.32370445474279,4.217529638378152,0.5391627404297341,0.8011115880357796,0.9732574620641439,2.465752435150782,0.7182242230057246,0.2787008725133283,0.7751896460522404,2.177992122355183,0.2876097020727074,0.13400091718517076,0.3174907441423196,0.8618760860619348,0.39892459971506855,0.4375116380790439,0.5940463349634945,1.4565710509903627
111.375,377,4.308785280668333,3.89776576485002,0.581356626464685,0.7789159325576912,0.9754181646690772,2.4343720696069613,0.5232767692891241,0.15096398795505536,0.5476810017659179,1.6110997170703512,0.24438772325216054,0.1545182772485716,0.28906949374694235,0.7400848493637786,0.2403433103114767,0.47892490772109075,0.5370587850975421,1.4367571042283518
111.625,377,4.306902470744286,3.98324413161489,0.4918888781545814,0.7260558184973761,0.8821484125818722,2.2325717142263968,0.5895150813011595,0.3161780236009066,0.669770965795004,1.7684842259666191,0.22418909826055333,0.1242508228483024,0.25602958702873035,0.6717225709550131,0.18290319588277726,0.30221723701484443,0.35272146571814195,0.9101520569461463
111.875,377,4.288420176306875,4.145055802173814,0.5086995473051253,0.6563150501259887,0.8353509704574907,2.0752508012694695,0.8716087841017779,0.28457807176379935,0.9174432925084153,2.65218196346237,0.2015646953498237,0.12166168767734414,0.23523020481419749,0.6072787902895649,0.2640928862771215,0.22108195887683785,0.3435769897020499,0.8470497531244157
112.125,376,4.231012125616404,4.01222425218155,0.5306883496887658,0.8679128584645381,1.023620141981494,2.6363827971902634,0.5719084524259139,0.4963171268748065,0.7617869828938526,1.873022794484144,0.19034761781720533,0.16473694922686383,0.2514975101403547,0.6184773290314853,0.1620229155896258,0.3798359320182462,0.4144067381731129,1.1442590249661428
112.375,377,4.335315381610856,4.018660593009966,0.3622974113233693,0.9588328025289664,1.0338734785850305,2.918433801588402,0.6290916227010614,0.7637367309176841,0.9960062830218053,2.4589808392874586,0.23755731789802487,0.1434544160860503,0.27735031827776957,0.7159552893105066,0.26735381371383976,0.5412033049878705,0.6059286614461842,1.6260495333166944
112.625,376,4.2424358102311475,3.853866878960446,0.3898880023918372,0.8897689985757774,0.9827366081623746,2.6996787544577043,0.5703396985746426,0.80946987588886,1.0006840784129698,2.517393386489016,0.23222631086892934,0.1874275079199761,0.2984607793190891,0.7382690358064969,0.28372950448335754,0.5347495727750726,0.6102429600086272,1.614714563364981
112.875,377,4.319213265518173,3.8495890841104896,0.41232019946121756,0.9952814143289539,1.0892793415473667,3.0242409148235434,0.847150343294456,0.9287384493627147,1.2650322731952621,3.1017416556508293,0.26840804879786967,0.15424918689301426,0.3093270303900159,0.8059280135259721,0.26794916136270663,0.6113122784481213,0.6742718845123611,1.8521909150739908
113.125,377,4.235300593759768,3.947944399069385,0.2601588097254334,0.9236027673817726,0.9730242010704055,2.871129934175764,0.4586591453817357,0.7871533406616242,0.9163011375627583,2.3811155620507454,0.2674702466246779,0.17321568707343482,0.3183667453511839,0.811729958590316,0.3531574985559411,0.46837136852510947,0.5923202140241357,1.4763589529370154
113.375,377,4.267979960561457,4.126714634036278,0.3773398817078334,1.119534949804345,1.1996501881843706,3.4510597016710602,0.4366662726520394,0.6929157488408882,0.8256358711140431,2.1150406057103024,0.2707813702309159,0.2101630695715933,0.3427124933195296,0.851263953921318,0.30308159956279257,0.40364590325301664,0.5102062716912407,1.2723590846686599
