event_id,context,E_total_MeV,range_mm,dedx_MeV_mm,inverse_MeV,true_step_mm
561,0,262.72921365028066,1.6789232762512178,86.654707660152297,262.72948398455026,0.050000000000000003
562,1,262.72921365028066,1.6789451682000882,86.650395129671409,262.72967263621786,0.050000000000000003
563,2,262.72921365028066,0.3163258391009503,478.40451089524873,262.72897861596874,0.03342973874258498
564,0,274.02772613419239,1.8113116436418109,83.74936190251303,274.02827147288349,0.050000000000000003
565,1,274.02772613419239,1.8112936321974873,83.762933724346524,274.02791937559181,0.050000000000000003
566,2,274.02772613419239,0.34026020035426841,463.86984044304387,274.0287430334846,0.035823375000835482
567,0,285.81212438077017,1.9542194328554916,80.940573556460947,285.81329199949124,0.050000000000000003
568,1,285.81212438077017,1.9541424809896879,80.971263366728181,285.81293130110282,0.050000000000000003
569,2,285.81212438077017,0.3660172196659498,449.77454704257639,285.81369822169131,0.038399263065888554
570,0,298.10330361623932,2.1084790153700608,78.2266230584776,298.10334052388669,0.050000000000000003
571,1,298.10330361623932,2.1083938357172296,78.232267990506557,298.1033507633262,0.050000000000000003
572,2,298.10330361623932,0.39373362819770313,436.08420042729915,298.10338731086779,0.041171077010442522
573,0,310.92305765351489,2.2749870901605158,75.603068460434358,310.92400900194389,0.050000000000000003
574,1,310.92305765351489,2.2750416251269248,75.500719938058182,310.92336801842464,0.050000000000000003
575,2,310.92305765351489,0.4235565382817838,422.74970986753618,310.92342135474945,0.044153528964273193
576,0,324.29411753538386,2.4547139452321454,73.068187291633237,324.29514098885937,0.050000000000000003
577,1,324.29411753538386,2.4552209464314791,72.790141981631194,324.29426500110674,0.050000000000000003
578,2,324.29411753538386,0.45564902387880946,409.76883657564764,324.29461703639799,0.04736292718338618
579,0,338.24019183951464,2.648705860040506,70.618927100228433,338.2402469189754,0.050000000000000003
580,1,338.24019183951464,2.6501979328298608,70.14108519665173,338.24051939595614,0.050000000000000003
581,2,338.24019183951464,0.49018844880828211,397.14966753959925,338.24029426009702,0.050000000000000003
582,0,352.78600871675928,2.8580879733298841,68.251467076689025,352.78742841580839,0.050000000000000003
583,1,352.78600871675928,2.8613084213286823,67.587820747439025,352.78874213963104,0.018152681478696048
584,2,352.78600871675928,0.52736527990505289,384.89197713192965,352.78733113477688,0.050000000000000003
585,0,367.95735973728733,3.0840682904434598,65.966267661418556,367.9580947681917,0.050000000000000003
586,1,367.95735973728733,3.0898632637932839,65.133042611497828,367.95880120133535,0.050000000000000003
587,2,367.95735973728733,0.56738300693299082,372.99194177000419,367.95804504154091,0.050000000000000003
588,0,383.78114562229678,3.327945065354128,63.762120959352018,383.78159725278431,0.050000000000000003
589,1,383.78114562229678,3.3372525178788974,62.771058018900852,383.78128699438474,0.050000000000000003
590,2,383.78114562229678,0.61046010720486898,361.43259234248376,383.78141201186241,0.050000000000000003
591,0,400.28542394239003,3.5911245980354098,61.63434131716042,400.28739674434075,0.050000000000000003
592,1,400.28542394239003,3.6049934914619941,60.497307201955252,400.28697226681527,0.020830469053102412
593,2,400.28542394239003,0.65683234784181221,350.20337482879376,400.28669550934245,0.050000000000000003
594,0,417.49945886718933,3.8751332595280896,59.573896579056147,417.49998038480175,0.050000000000000003
