# E_MeV_total,t_req_mm,t_lim_mm,g_mm,t_inv_mm,lambda0_mm,range_mm
600.000000,2.500000000000e-01,2.500000000000e-01,2.499999887374e-01,2.500000000000e-01,2.774666960426e+06,8.333333333333e+01
600.000000,1.250000000000e+02,8.333333333333e+01,8.333083060562e+01,8.333333333333e+01,2.774666960426e+06,8.333333333333e+01
600.000000,2.500000000000e+02,8.333333333333e+01,8.333083060562e+01,8.333333333333e+01,2.774666960426e+06,8.333333333333e+01
600.000000,4.166666666667e+01,4.166666666667e+01,4.166628267311e+01,4.166666666667e+01,2.774666960426e+06,8.333333333333e+01
600.000000,7.500000000000e+01,7.500000000000e+01,7.499832379949e+01,7.500000000000e+01,2.774666960426e+06,8.333333333333e+01
600.000000,8.333333333333e+01,8.333333333333e+01,8.333083060562e+01,8.333333333333e+01,2.774666960426e+06,8.333333333333e+01
1200.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.058150072232e+07,1.666666666667e+02
1200.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,1.058150072232e+07,1.666666666667e+02
1200.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,1.058150072232e+07,1.666666666667e+02
1200.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,1.058150072232e+07,1.666666666667e+02
1200.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.058150072232e+07,1.666666666667e+02
1200.000000,2.000000000000e-06,2.000000000000e-06,2.000000000000e-06,2.000000000000e-06,1.058150072232e+07,1.666666666667e+02
1200.000000,5.000000000000e-06,5.000000000000e-06,4.999999999999e-06,5.000000000000e-06,1.058150072232e+07,1.666666666667e+02
1200.000000,1.000000000000e-05,1.000000000000e-05,9.999999999995e-06,1.000000000000e-05,1.058150072232e+07,1.666666666667e+02
1200.000000,1.000000000000e-04,1.000000000000e-04,9.999999999953e-05,1.000000000000e-04,1.058150072232e+07,1.666666666667e+02
1200.000000,1.000000000000e-03,1.000000000000e-03,9.999999999527e-04,1.000000000000e-03,1.058150072232e+07,1.666666666667e+02
1200.000000,5.000000000000e-03,5.000000000000e-03,4.999999998819e-03,5.000000000000e-03,1.058150072232e+07,1.666666666667e+02
1200.000000,1.000000000000e-02,1.000000000000e-02,9.999999995275e-03,1.000000000000e-02,1.058150072232e+07,1.666666666667e+02
1200.000000,2.500000000000e-02,2.500000000000e-02,2.499999997047e-02,2.500000000000e-02,1.058150072232e+07,1.666666666667e+02
1200.000000,5.000000000000e-02,5.000000000000e-02,4.999999988187e-02,5.000000000000e-02,1.058150072232e+07,1.666666666667e+02
1200.000000,1.000000000000e-01,1.000000000000e-01,9.999999952748e-02,1.000000000000e-01,1.058150072232e+07,1.666666666667e+02
1200.000000,2.500000000000e-01,2.500000000000e-01,2.499999970467e-01,2.500000000000e-01,1.058150072232e+07,1.666666666667e+02
1200.000000,2.500000000000e+02,1.666666666667e+02,1.666640415815e+02,1.666666666667e+02,1.058150072232e+07,1.666666666667e+02
1200.000000,5.000000000000e+02,1.666666666667e+02,1.666640415815e+02,1.666666666667e+02,1.058150072232e+07,1.666666666667e+02
1200.000000,8.333333333333e+01,8.333333333333e+01,8.333293057098e+01,8.333333333333e+01,1.058150072232e+07,1.666666666667e+02
1200.000000,1.500000000000e+02,1.500000000000e+02,1.499982418606e+02,1.500000000000e+02,1.058150072232e+07,1.666666666667e+02
1200.000000,1.666666666667e+02,1.666666666667e+02,1.666640415815e+02,1.666666666667e+02,1.058150072232e+07,1.666666666667e+02
3000.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,5.840815915812e+07,4.166666666667e+02
3000.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,5.840815915812e+07,4.166666666667e+02
3000.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.840815915812e+07,4.166666666667e+02
3000.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,5.840815915812e+07,4.166666666667e+02
3000.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,5.840815915812e+07,4.166666666667e+02
3000.000000,2.000000000000e-06,2.000000000000e-06,2.000000000000e-06,2.000000000000e-06,5.840815915812e+07,4.166666666667e+02
3000.000000,5.000000000000e-06,5.000000000000e-06,5.000000000000e-06,5.000000000000e-06,5.840815915812e+07,4.166666666667e+02
