energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
87,0.00442876,0.00588219,0.00647495,0.0063533,0.006231,0.00613427,0.00605418,0.0059035,0.00581505,0.00590563,0.00575126,0.00558066,0.00542912,0.00530267,0.00517659,0.00505474,0.00493259,0.00483453,0.0047527,0.00465597,0.00458004,0.00450478,0.00443017,0.00437936,0.00259337
88,0.00441515,0.00585798,0.00644766,0.00632666,0.00620501,0.00610877,0.00602912,0.00587921,0.00579152,0.00588163,0.00572817,0.00555857,0.00540793,0.00528222,0.00515688,0.00503575,0.00491432,0.00481684,0.00473549,0.00463933,0.00456385,0.00448902,0.00441486,0.00436434,0.00258691
89,0.00440178,0.00583422,0.00642087,0.0063005,0.00617949,0.00608375,0.00600451,0.00585535,0.00576841,0.00585807,0.00570549,0.00553689,0.00538712,0.00526213,0.00513752,0.0050171,0.00489638,0.00479947,0.00471858,0.00462298,0.00454793,0.00447355,0.00439981,0.00434959,0.00258055
90,0.00438862,0.00581089,0.00639458,0.00627483,0.00615444,0.00605918,0.00598035,0.00583194,0.00574572,0.00583494,0.00568322,0.0055156,0.00536668,0.00524241,0.0051185,0.00499879,0.00487876,0.00478241,0.00470197,0.00460692,0.0045323,0.00445834,0.00438503,0.00433509,0.00257429
91,0.00437569,0.00578799,0.00636876,0.00624963,0.00612985,0.00603506,0.00595664,0.00580895,0.00572345,0.00581223,0.00566136,0.00549469,0.00534661,0.00522304,0.00509983,0.0049808,0.00486145,0.00476565,0.00468565,0.00459115,0.00451695,0.0044434,0.00437051,0.00432085,0.00256814
92,0.00436297,0.0057655,0.00634342,0.00622488,0.00610571,0.00601138,0.00593335,0.00578638,0.00570158,0.00578993,0.0056399,0.00547416,0.0053269,0.00520402,0.00508149,0.00496313,0.00484445,0.00474919,0.00466962,0.00457565,0.00450186,0.00442873,0.00435624,0.00430685,0.00256208
93,0.00435047,0.00574342,0.00631853,0.00620059,0.00608201,0.00598813,0.00591049,0.00576422,0.0056801,0.00576804,0.00561882,0.005454,0.00530755,0.00518534,0.00506348,0.00494577,0.00482776,0.00473301,0.00465387,0.00456043,0.00448704,0.00441431,0.00434222,0.0042931,0.00255612
94,0.00433818,0.00572175,0.0062941,0.00617673,0.00605873,0.0059653,0.00588805,0.00574246,0.00565901,0.00574654,0.00559812,0.0054342,0.00528854,0.00516699,0.00504579,0.00492873,0.00481135,0.00471713,0.00463841,0.00454547,0.00447249,0.00440014,0.00432845,0.00427959,0.00255026
95,0.00432609,0.00570047,0.00627012,0.00615332,0.00603588,0.00594289,0.00586601,0.0057211,0.00563831,0.00572543,0.00557779,0.00541476,0.00526987,0.00514897,0.00502842,0.00491198,0.00479524,0.00470152,0.00462321,0.00453078,0.00445818,0.00438622,0.00431491,0.00426632,0.0025445
96,0.00431421,0.00567957,0.00624657,0.00613032,0.00601345,0.00592088,0.00584437,0.00570013,0.00561798,0.00570469,0.00555783,0.00539566,0.00525154,0.00513127,0.00501136,0.00489554,0.00477942,0.0046862,0.00460828,0.00451635,0.00444413,0.00437255,0.00430161,0.00425327,0.00253883
97,0.00430252,0.00565905,0.00622344,0.00610775,0.00599142,0.00589928,0.00582312,0.00567953,0.00559801,0.00568434,0.00553823,0.00537691,0.00523354,0.00511389,0.0049946,0.00487938,0.00476387,0.00467114,0.00459362,0.00450216,0.00443032,0.00435911,0.00428855,0.00424046,0.00253325
