energy_MeV_per_u,water_macroscopic_cross_section_per_mm
13.54,0.00504919
13.55,0.00504834
13.56,0.00504748
13.57,0.00504663
13.58,0.00504578
13.59,0.00504493
13.6,0.00504407
13.61,0.00504322
13.62,0.00504238
13.63,0.00504153
13.64,0.00504068
13.65,0.00503984
13.66,0.00503899
13.67,0.00503815
13.68,0.0050373
13.69,0.00503646
13.7,0.00503562
13.71,0.00503478
13.72,0.00503394
13.73,0.0050331
13.74,0.00503227
13.75,0.00503143
13.76,0.0050306
13.77,0.00502976
13.78,0.00502893
13.79,0.0050281
13.8,0.00502727
13.81,0.00502643
13.82,0.00502561
13.83,0.00502478
13.84,0.00502395
13.85,0.00502312
13.86,0.0050223
13.87,0.00502147
13.88,0.00502065
13.89,0.00501983
13.9,0.00501901
13.91,0.00501818
13.92,0.00501736
13.93,0.00501655
13.94,0.00501573
13.95,0.00501491
13.96,0.00501409
13.97,0.00501328
13.98,0.00501247
13.99,0.00501165
14,0.00501084
14.01,0.00501063
14.02,0.00501043
14.03,0.00501022
14.04,0.00501002
14.05,0.00500981
14.06,0.00500961
14.07,0.00500941
14.08,0.00500921
14.09,0.00500902
14.1,0.00500882
14.11,0.00500862
14.12,0.00500843
14.13,0.00500824
14.14,0.00500805
