depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
26.875,peak,2.904817108628777e-10,2.8828882818743294e-10,1.2205424269457499e-12,5.449905299181093e-13,0.7606547535095709,-0.5082267046102283,2.0295362116293703
27.125,peak,2.8977986630707164e-10,2.883589411339926e-10,1.42777860659262e-12,5.630844663408857e-13,0.49276265458984003,-0.9980125252673026,1.9835378344469827
27.375,peak,2.892137899834779e-10,2.879712712910987e-10,1.2030869292958491e-12,6.560041516807808e-13,0.4314731420285156,-0.8211219752563145,1.6840682593133454
27.625,peak,2.887634457238164e-10,2.875657276035781e-10,1.1749342747389809e-12,6.603403162655994e-13,0.4165023872001239,-0.8100868312151976,1.6430916056154452
27.875,peak,2.8862598583145886e-10,2.874742096992122e-10,1.040115230378885e-12,4.1140669657774724e-13,0.4006537259296339,-0.6885971642316364,1.4899046160909042
28.125,peak,2.8833318310717005e-10,2.873573498618498e-10,7.388451446973395e-13,4.593436772280414e-13,0.339588754486142,-0.4381159556123885,1.1172934645846726
28.375,peak,2.8848130455116916e-10,2.8666185471593053e-10,7.348714866319614e-13,5.892859984174845e-13,0.634702457026104,-0.18014564772161848,1.4495505617738265
28.625,peak,2.8866008278782827e-10,2.866862450900953e-10,6.319399528953297e-13,6.285441565942374e-13,0.6885010116591594,-0.07484716224162302,1.4518491855599418
28.875,peak,2.881240425267606e-10,2.8618811597880266e-10,1.0414828704836263e-12,5.927321978674616e-13,0.676452459018706,-0.4169314988843889,1.7698364169218008
29.125,peak,2.8756342430824586e-10,2.8607290801119235e-10,1.1521367080341626e-12,4.720565698532007e-13,0.521026722668605,-0.6895707719514566,1.7316242172886667
29.375,peak,2.868378112452774e-10,2.861705593204533e-10,1.0928363105599219e-12,6.912248462726742e-13,0.23316581775865153,-0.9239249037985441,1.3902565393158473
29.625,peak,2.861330801806616e-10,2.854530532658828e-10,1.1988384470830557e-12,4.761228138706768e-13,0.23822723456574657,-1.0259963738914109,1.502450843022904
29.875,peak,2.8578363867382e-10,2.852168915978837e-10,8.037924322133983e-13,4.669761057056079e-13,0.19870740220229166,-0.6488281761481507,1.046242980552734
30.125,peak,2.8541222150124664e-10,2.846542713541567e-10,1.1585613938569822e-12,7.21884864191354e-13,0.2662704281527928,-0.9649947247168555,1.497535581022441
30.375,peak,2.847373616532423e-10,2.8430978886717643e-10,9.414095713129332e-13,8.135299953240595e-13,0.150389751886304,-0.9265077958632009,1.2272872996358088
30.625,peak,2.8439436277949423e-10,2.843130675955763e-10,8.581637417846566e-13,1.0601179461188748e-12,0.02859354464619379,-1.1579450952345844,1.215132184526972
30.875,peak,2.839717467395531e-10,2.8379207947182297e-10,8.07639315801749e-13,8.2313513035482e-13,0.06330947222505934,-0.9314022461096423,1.058021190559761
31.125,peak,2.83500093019029e-10,2.83348072116496e-10,8.728037009893867e-13,7.787373074331031e-13,0.05365164527058042,-0.9598514624834973,1.0671547530246581
31.375,peak,2.8305316618570944e-10,2.8283883125368444e-10,8.811418605026174e-13,9.520158093556076e-13,0.0757798818058264,-1.0485814559845679,1.2001412195962207
31.625,peak,2.830498146977334e-10,2.8280383844503377e-10,1.3307568360368044e-12,9.801034967003762e-13,0.0869776924005361,-1.3743627455286693,1.5483181303297415
31.875,peak,2.828801348186971e-10,2.8260518547540414e-10,1.277233979677714e-12,9.833055013704276e-13,0.0972909760415197,-1.3211348732835808,1.5157168253666202
32.125,peak,2.828346293881623e-10,2.8218719194228473e-10,1.3244468227452616e-12,1.2271508805926252e-12,0.2294354472367477,-1.3399471095920938,1.7988180040655892
32.375,peak,2.820973702455376e-10,2.8216557097948683e-10,1.0562603755120298e-12,1.039894843264708e-12,-0.024170466195594376,-1.30948903040623,1.2611480980150414
32.625,peak,2.8177672788842756e-10,2.816463177168771e-10,1.1969185614453002e-12,9.791490474786204e-13,0.046302814326715236,-1.3102770616581554,1.4028826903115859
32.875,peak,2.8145787155153813e-10,2.81306648730606e-10,1.2839398005512339e-12,1.0272304967191441e-12,0.053757286439726215,-1.3935985704222138,1.5011131433016662
33.125,peak,2.812789705330942e-10,2.807767828016949e-10,1.1219417022136556e-12,1.2843192710183234e-12,0.1788565729645697,-1.3155376775959466,1.673250823525086
33.375,peak,2.8108353035349867e-10,2.8054646918462824e-10,9.866979836748687e-13,1.3682852129306209e-12,0.19143394334326658,-1.3185209855977735,1.7013888722843067
33.625,peak,2.8073369321646164e-10,2.8015280122417604e-10,8.315737111334195e-13,1.3719452299571168e-12,0.2073482719955999,-1.2726863709531342,1.687382914944334
33.875,peak,2.804238874887233e-10,2.797809406729357e-10,1.0270437493512836e-12,1.5976647997546442e-12,0.22980365075659925,-1.506735483296812,1.9663427848100106
